,MCF7_P1,MCF7_P2,MCF7_P3,MCF7_FasR1,MCF7_FasR2,MCF7_FasR3
RP11-793A3.1,0,0,0,0,0,0
RP11-793A3.2,0,0,0,0,0,0
RP11-793B23.1,0,0,0,0,0,0
RP11-793H13.10,1.411426246,0.97819563,0.807354922,2.873813198,2.448900951,2.438292852
RP11-793H13.11,1.378511623,1.350497247,1.443606651,1.718087584,1,1.704871964
RP11-793H13.12,0,0,0,0,0,0
RP11-793H13.3,0,0,0,0.084064265,0.028569152,0.014355293
RP11-793H13.8,2.448900951,2.523561956,2.066950244,2.500802053,1.691534165,2.613531653
RP11-793H4.1,0,0,0,0,0,0
RP11-793I11.1,0,0,0,0,0,0
RP11-793K1.1,0,0,0,0,0,0
RP11-793L10.1,0,0,0,0,0,0
RP11-794A8.1,0,0,0,0,0,0
RP11-794C22.2,0,0,0,0,0,0
RP11-794G24.1,0.925999419,0.669026766,0.622930351,1.469885976,0.748461233,0.948600847
RP11-794M8.1,0,0,0.286881148,0,0,0
RP11-794M8.2,0,0,0,0,0,0
RP11-794P6.1,0,0,0,0,0,0
RP11-794P6.2,0,0,0,0,0,0
RP11-794P6.3,0,0,0,0,0,0
RP11-794P6.6,0,0,0,0,0,0
RP11-795A2.2,0,0,0,0,0,0
RP11-795A2.3,0,0,0,0,0,0
RP11-795F19.5,1.250961574,0.748461233,0.807354922,1.117695043,1.23878686,0.454175893
RP11-795H16.2,0,0,0,0,0,0
RP11-795H16.3,0,0,0,0,0,0
RP11-795J1.1,0,0,0,0,0,0
RP11-795J1.2,0,0,0,0,0,0
RP11-796A5.3,0,0,0,0,0,0
RP11-796A5.4,0,0,0,0,0,0
RP11-796E10.1,0.910732662,1.416839742,1.257010618,1.070389328,1.871843649,1.269033146
RP11-796E2.4,1.021479727,0.90303827,1.416839742,1.361768359,1.807354922,0.948600847
RP11-796G6.1,0.321928095,0.59454855,0.150559677,0.097610797,0.176322773,0.432959407
RP11-796I2.1,0,0,0,0,0,0
RP11-796L2.1,0,0,0,0,0,0
RP11-797A18.3,0,0,0,0,0,0
RP11-797A18.5,0.070389328,0.137503524,0,0.310340121,0.23878686,0.150559677
RP11-797A18.6,0.176322773,0.40053793,0.516015147,0.773996325,0.713695815,0.411426246
RP11-797D24.3,0,0.22650853,0.111031312,0.137503524,0,0
RP11-797D24.4,0,0,0,0.584962501,0,0
RP11-797E24.1,0,0,0,0,0,0
RP11-797E24.3,0,0,0,0,0,0
RP11-797H7.1,0,0,0,0.014355293,0,0
RP11-797H7.3,0.070389328,0,0,0,0.070389328,0.042644337
RP11-797H7.5,0,0,0,0,0,0
RP11-797H7.6,0,0,0,0,0,0
RP11-797J4.1,0,0,0,0,0,0
RP11-797M17.1,0.137503524,0,0,0,0,0
RP11-798G7.4,0,0,0,0,0,0
RP11-798G7.5,0.310340121,0,0.189033824,0.137503524,0.432959407,0.310340121
RP11-798G7.6,0.432959407,0.516015147,0.948600847,0.454175893,0.565597176,0.687060688
RP11-798G7.7,0,0,0,0.084064265,0.097610797,0
RP11-798G7.8,0.137503524,0.214124805,0.124328135,0.389566812,0.555816155,0.321928095
RP11-798K23.1,0,0,0,0,0,0
RP11-798K23.3,0,0,0,0,0,0
RP11-798K23.4,0,0,0,0,0,0
RP11-798K23.5,0,0,0.310340121,0,0,0
RP11-798K3.2,0,0,0,0,0,0
RP11-798K3.3,0,0,0,0,0,0
RP11-798K3.4,0,0,0,0,0,0
RP11-798L4.1,0.028569152,0,0,0.014355293,0,0.014355293
RP11-798M19.3,0.464668267,0.23878686,0,0.799087306,0.137503524,0.097610797
RP11-798M19.6,1.176322773,1.50589093,1.084064265,0.97819563,1.021479727,0.641546029
RP11-799B12.1,0,0,0,0,0,0.163498732
RP11-799B12.2,0,0,0,0,0,0
RP11-799B12.4,0.454175893,0.084064265,0.150559677,1.201633861,0.757023247,0.695993813
RP11-799D4.1,0,0,0,0,0,0
RP11-799D4.2,0,0,0,0,0,0
RP11-799D4.3,0,0,0,0,0,0
RP11-799D4.4,0.443606651,0.59454855,0.495695163,0.622930351,0.516015147,0.495695163
RP11-799M12.2,0.124328135,0,0.214124805,0.137503524,0.124328135,0.163498732
RP11-799N11.1,0,0,0,0,0,0
RP11-799O21.2,0,0,0,0,0,0
RP11-79C23.1,0,0.084064265,0,0,0,0
RP11-79C6.1,0,0,0,0,0,0
RP11-79C6.2,0,0,0,0,0,0
RP11-79C6.3,0,0,0,0,0,0
RP11-79D8.2,0.378511623,1.201633861,0.333423734,1.580145484,2.250961574,2.495695163
RP11-79E3.1,0,0,0,0,0,0
RP11-79E3.2,0,0,0,0,0,0
RP11-79E3.3,0,0,0,0,0,0
RP11-79H23.3,0,0,0,0,0,0
RP11-79J24.1,0,0,0,0,0,0
RP11-79L21.1,0,0,0,0,0,0
RP11-79L9.2,0.263034406,0,0.124328135,0.150559677,0.150559677,0
RP11-79M19.2,0,0,0,0,0,0
RP11-79M21.3,0,0,0,0,0,0
RP11-79N23.1,0.669026766,0.650764559,0.40053793,1.618238656,1.10433666,1.063502942
RP11-79O8.1,0.344828497,0.82374936,0.40053793,0.201633861,0.35614381,0.176322773
RP11-79P5.10,0.389566812,0.137503524,0.422233001,0.137503524,0.124328135,0.189033824
RP11-79P5.3,0,0,0,0,0,0
RP11-79P5.9,2.066950244,1.992768431,1.438292852,1.744161096,1.918386234,1.50589093
RP11-7C6.1,0,0,0,0,0,0
RP11-7D5.2,0,0,0,0,0,0
RP11-7F17.1,0.150559677,0,0,0.176322773,0,0
RP11-7F17.3,0,0,0,0.111031312,0,0
RP11-7F17.4,0,0,0,0,0,0
RP11-7F17.5,0.275007047,0.150559677,0.189033824,0.367371066,0.298658316,0.443606651
RP11-7F17.7,0,0,0,0,0,0
RP11-7F17.8,0.925999419,0.464668267,0.422233001,1.14404637,0.669026766,0.790772038
RP11-7F18.1,0,0,0,0,0,0
RP11-7F18.2,1.137503524,0.815575429,0.695993813,0.526068812,0.422233001,0.443606651
RP11-7G12.1,0,0,0,0,0,0
RP11-7G12.2,0,0,0,0,0,0
RP11-7I15.3,0,0,0,0,0,0
RP11-7I15.4,0,0,0,0,0,0
RP11-7K24.3,0.992768431,0.722466024,0.659924558,1.150559677,0.992768431,1.049630768
RP11-7M10.2,0,0,0,0,0.189033824,0
RP11-7M8.2,0,0,0,0,0,0
RP11-7N14.1,0,0,0,0,0,0
RP11-7O11.3,0.50589093,0.687060688,0.250961574,0.765534746,0.659924558,0.613531653
RP11-7O14.1,0,0,0,0,0,0
RP11-800A18.3,0,0.042644337,0,0,0,0
RP11-800A18.4,0,0,0,0,0,0
RP11-800A3.2,0.739848103,0,0.678071905,0.23878686,0,0
RP11-800A3.3,0,0,0,0,0,0
RP11-800A3.4,3.089159132,3.051372102,3.077242999,3.341985747,2.799087306,3.307428525
RP11-800A3.7,0.028569152,0.056583528,0.163498732,0.124328135,0.097610797,0.084064265
RP11-801F7.1,0.111031312,0.111031312,0,0.555816155,0.622930351,0.310340121
RP11-801G16.2,0,0,0,0,0,0
RP11-801I18.1,0,0,0,0,0,0
RP11-802E16.3,3.56193706,3.244887059,3.229587923,2.767654798,2.166715445,1.739848103
RP11-802F5.1,0,0,0,0,0,0
RP11-802H3.1,0,0,0,0,0,0
RP11-802H3.2,0,0,0,0,0,0
RP11-802O23.3,0.22650853,0.321928095,0,0.604071324,0.344828497,0.310340121
RP11-802O23.4,0,0,0,0,0,0
RP11-803A13.1,0,0,0,0,0,0
RP11-803B1.2,0,0,0,0,0,0
RP11-803B1.3,0,0,0,0,0,0
RP11-803B1.8,0.275007047,0.042644337,0.150559677,0.389566812,0.042644337,0
RP11-803D5.1,0.367371066,0.250961574,0.321928095,0.056583528,0.070389328,0.097610797
RP11-803D5.4,0,0,0,0,0,0
RP11-803P9.1,0.097610797,0,0.084064265,0.454175893,0.887525271,0.310340121
RP11-804A23.1,0,0,0,0,0,0
RP11-804A23.2,0,0,0.124328135,0.475084883,0.150559677,0.516015147
RP11-804A23.4,0,0,0,0,0.150559677,0
RP11-804F13.1,0,0,0,0,0,0
RP11-804F13.2,0,0,0,0,0,0
RP11-804H8.5,0,0,0,0,0,0
RP11-804H8.6,0.378511623,0.028569152,0.189033824,0.298658316,0.50589093,0.298658316
RP11-804H8.7,0,0,0,0,0.275007047,0.189033824
RP11-804L24.2,0,0,0,0,0,0
RP11-804M7.1,0,0,0,0,0,0
RP11-804M7.2,0,0,0,0,0,0
RP11-804N13.1,0,0.070389328,0,0,0,0
RP11-805F19.1,0,0,0,0,0,0
RP11-805F19.2,0,0,0,0,0,0
RP11-805F19.3,0.137503524,0.137503524,0.042644337,0.189033824,0.084064265,0.084064265
RP11-805F19.4,0,0,0,0,0,0
RP11-805I24.1,0,0,0,0,0,0
RP11-805I24.3,0.028569152,0,0.014355293,0,0,0
RP11-805I24.4,0,0,0,0,0,0
RP11-805J14.3,0,0,0,0,0,0
RP11-805J14.5,0,0,0.084064265,0,0,0.042644337
RP11-805L22.1,0,0,0,0,0,0
RP11-805L22.2,0,0,0,0,0,0
RP11-805L22.3,0,0,0,0.084064265,0.275007047,0.097610797
RP11-806H10.4,2.22650853,2.077242999,1.956056652,1.124328135,1.042644337,0.847996907
RP11-806J6.1,0,0,0,0,0,0
RP11-806K15.1,0,0,0,0,0,0
RP11-806L2.2,0.028569152,0,0,0.014355293,0,0
RP11-806L2.5,0,0,0,0,0,0
RP11-806L2.6,0,0,0,0,0,0
RP11-806N19.2,0,0,0,0,0,0
RP11-806O11.1,0.176322773,0.176322773,0,0.516015147,0.411426246,0.310340121
RP11-807E13.2,0,0,0,0,0,0
RP11-807E13.3,0,0,0.084064265,0,0,0
RP11-807G9.2,0,0,0,0,0,0
RP11-807H17.1,0,0,0,0,0,0
RP11-807H22.5,0,0,0,0,0,0
RP11-807H22.6,0,0,0,0,0,0
RP11-807H22.7,0,0,0,0,0,0
RP11-807H7.2,0,0,0,0,0,0
RP11-809C18.3,0.028569152,0,0.056583528,0,0,0
RP11-809C18.4,0,0,0,0,0,0
RP11-809C18.5,0,0,0,0,0,0
RP11-809C9.2,0.23878686,0.084064265,0,0.097610797,0,0.176322773
RP11-809C9.3,0.23878686,0,0,0.070389328,0,0
RP11-809F4.2,0,0,0,0,0,0
RP11-809F4.3,0.028569152,0.042644337,0,0,0,0.014355293
RP11-809F4.4,0,0,0,0,0,0
RP11-809H16.2,0.941106311,0.124328135,0,0.189033824,0,0
RP11-809H16.3,0,0.028569152,0.042644337,0.176322773,0.23878686,0.111031312
RP11-809H16.4,0,0,0,0.042644337,0,0.042644337
RP11-809H16.5,0,0,0,0.042644337,0,0
RP11-809N15.2,0,0,0,0,0,0
RP11-809N15.3,0,0,0,0,0,0
RP11-809N8.2,0.22650853,0,0,0,0,0
RP11-809N8.4,0,0,0,0.201633861,0,0.263034406
RP11-809N8.5,0,0,0,0,0,0
RP11-809N8.6,0,0,0,0,0,0
RP11-809O17.1,2.606442228,2.480265122,2.568032105,1.531069493,0.748461233,1.570462931
RP11-80A15.1,0.176322773,0.163498732,0.084064265,0,0,0
RP11-80B9.1,0,0,0,0,0,0
RP11-80B9.4,0,0,0,0,0,0
RP11-80F22.1,0,0,0,0,0,0
RP11-80F22.10,0,0,0,0,0,0
RP11-80F22.11,0,0,0,0,0,0
RP11-80F22.13,0,0,0,0,0,0
RP11-80F22.14,0,0,0,0,0,0
RP11-80F22.15,0,0,0,0,0,0
RP11-80F22.16,0,0,0,0,0,0
RP11-80F22.2,0,0,0,0,0,0
RP11-80F22.4,0,0,0,0,0,0
RP11-80F22.5,0,0,0,0,0,0
RP11-80F22.6,0,0,0,0,0,0
RP11-80F22.7,0,0,0,0,0,0
RP11-80F22.8,0,0,0,0,0,0
RP11-80F22.9,0,0,0,0,0,0
RP11-80H18.4,0,0,0,0,0,0
RP11-80H5.2,0.443606651,0.641546029,0,0.765534746,0.475084883,0.632268215
RP11-80H5.5,0.678071905,0.925999419,0.98550043,0.367371066,0,0.963474124
RP11-80H5.6,0,0,0,0,0,0
RP11-80H5.9,0,0.084064265,0.042644337,0.028569152,0.042644337,0.056583528
RP11-80H8.3,0,0,0,0,0,0
RP11-80H8.4,0,0,0,0,0,0
RP11-80I15.1,0.941106311,0.432959407,0,0.137503524,0,0
RP11-80I15.4,0.250961574,0.695993813,0.111031312,0,0,0
RP11-80I3.1,0,0,0,0,0,0
RP11-80K6.2,0,0,0,0,0,0
RP11-80N2.2,0,0,0,0,0,0
RP11-80P20.3,0.111031312,0.042644337,0.014355293,0.214124805,0.201633861,0.163498732
RP11-810B23.1,0,0,0,0,0,0
RP11-810D13.1,0,0,0,0,0,0
RP11-810F22.1,0,0,0,0,0,0
RP11-810H18.1,0,0,0,0,0,0
RP11-810K23.10,0,0,0,0,0,0
RP11-810K23.6,0,0,0,0,0,0
RP11-810K23.7,0,0,0,0,0,0
RP11-810K23.9,0,0,0,0,0,0
RP11-810M2.2,0,0,0.124328135,0,0.137503524,0.275007047
RP11-810O3.2,0,0,0,0,0,0
RP11-810P12.1,0.070389328,0,0,0.189033824,0,0.150559677
RP11-810P12.5,0,0,0,0,0,0
RP11-810P12.6,0,0,0,0,0,0
RP11-810P12.7,0.704871964,0.731183242,0.632268215,0.669026766,0.378511623,0.485426827
RP11-810P8.1,0,0,0,0,0,0
RP11-811I15.1,0,0,0,0.042644337,0,0
RP11-811J10.1,0,0,0,0,0,0
RP11-812D23.1,0,0,0,0,0,0
RP11-812E19.10,0,0,0,0,0,0
RP11-812E19.12,0,0,0,0,0,0
RP11-812E19.13,0,0,0,0,0,0
RP11-812E19.14,0,0,0,0,0,0
RP11-812E19.3,0,0,0,0,0,0
RP11-812E19.5,0,0,0,0,0,0
RP11-812E19.7,0,0,0,0,0,0
RP11-812E19.9,0,0,0,0,0,0
RP11-812I20.2,0,0,0,0,0.389566812,0
RP11-813B8.1,0,0,0,0,0,0
RP11-813B8.2,0,0,0,0,0,0
RP11-813F20.2,0,0,0,0,0,0
RP11-813F20.4,0,0,0,0,0,0
RP11-813I20.2,0,0,0,0,0,0
RP11-813N20.1,0,0.097610797,0,0,0,0
RP11-813N20.2,0,0,0,0,0,0
RP11-813N20.3,0,0,0,0,0,0
RP11-813P10.1,0,0,0,0,0,0
RP11-813P10.2,0,0,0,0,0,0
RP11-814E24.1,0,0,0,0,0,0
RP11-814E24.3,0,0,0,0,0,0
RP11-814H16.2,0.378511623,0,0.124328135,0,0.150559677,0.097610797
RP11-814M22.2,0,0,0,0,0,0
RP11-814P5.1,0,0,0,0,0,0
RP11-815D16.1,0,0,0,0,0,0
RP11-815I22.1,0,0,0,0,0,0
RP11-815I9.3,0,0,0,0,0,0
RP11-815I9.4,1.269033146,1.310340121,1.339137385,1.042644337,0.739848103,0.963474124
RP11-815I9.5,2.553360503,0,0,0,3.625270489,1.622930351
RP11-815J21.1,0,0,0,0,0.084064265,0
RP11-815J21.2,0,0,0,0,0,0
RP11-815J21.3,0,0,0,0,0,0
RP11-815J21.4,0,0,0,0,0,0
RP11-815J4.1,0,0,0,0,0,0
RP11-815J4.5,0,0,0,0,0,0
RP11-815J4.6,0,0.042644337,0.042644337,0.028569152,0,0.028569152
RP11-815J4.7,0.137503524,0.176322773,0.042644337,0,0.056583528,0.070389328
RP11-815M8.1,0,0,0,0,0,0
RP11-815N9.2,0.23878686,0.163498732,0,0.310340121,0,0.333423734
RP11-816B4.1,0,0,0,0,0,0
RP11-816J6.3,0.432959407,0,0.40053793,0.286881148,0.40053793,0.321928095
RP11-816J8.1,0,0,0,0,0,0
RP11-817G13.3,0,0,0,0.084064265,0,0.097610797
RP11-817I4.1,0.669026766,0.704871964,0.526068812,0.286881148,0.475084883,0.5360529
RP11-817I4.2,0.189033824,0.137503524,0.111031312,0.176322773,0.124328135,0.176322773
RP11-817J15.2,0,0,0,0,0,0
RP11-817O13.1,0,0,0,0,0,0
RP11-817O13.8,2.957914599,2.811471031,3.075532631,2.443606651,2.066950244,2.344828497
RP11-817O13.9,0.847996907,0.59454855,0.310340121,1.963474124,1.90303827,1.5360529
RP11-818C3.1,0,0,0,0,0,0
RP11-818F20.4,0,0.163498732,0,0.097610797,0.35614381,0
RP11-818F20.5,0,0,0,0,0,0
RP11-818O24.2,0,0,0,0,0,0
RP11-818O24.3,0,0,0,0,0,0
RP11-819C21.1,0.084064265,0.150559677,0.137503524,0.201633861,0.189033824,0.22650853
RP11-819M15.1,0.042644337,0,0,0.042644337,0,0
RP11-819M15.2,0,0,0,0,0,0
RP11-81A1.3,0,0,0,0,0,0
RP11-81A1.4,0.028569152,0,0,0,0.070389328,0.014355293
RP11-81A1.6,2.9202933,1.895302621,2.025028794,2.702657543,1.726831217,1.646162657
RP11-81A1.7,0,0,0,0,0,0
RP11-81A1.8,0,0,0,0,0,0
RP11-81A22.4,0.028569152,0,0,0,0,0
RP11-81A22.5,0.422233001,0.722466024,0.622930351,0.815575429,1.344828497,0.97819563
RP11-81B10.2,0,0,0,0,0,0
RP11-81B23.1,0,0,0,0,0,0
RP11-81F13.1,0,0,0,0,0,0
RP11-81F13.2,0,0,0,0,0,0
RP11-81H14.1,0,0,0,0,0,0
RP11-81H14.2,0,0,0,0,0,0
RP11-81H14.3,0,0,0,0,0,0
RP11-81H14.4,0,0,0,0,0,0
RP11-81H3.2,0.367371066,0.275007047,0.163498732,0.310340121,0.124328135,0.176322773
RP11-81K13.1,0,0,0,0,0,0
RP11-81K2.1,0,0,0,0,0.422233001,0
RP11-81K2.2,0.014355293,0,0,0,0,0
RP11-81M19.1,0,0,0,0,0,0
RP11-81M19.3,0,0,0,0,0,0
RP11-820I16.1,0,0,0,0,0,0
RP11-820I16.2,0,0,0,0,0,0
RP11-820I16.3,0,0,0,0,0,0
RP11-820I16.4,0.250961574,0,0.23878686,0.464668267,0.50589093,0.815575429
RP11-820K3.2,0,0,0,0,0.137503524,0
RP11-820K3.3,0,0,0,0,0,0
RP11-820K3.4,0,0,0,0,0,0
RP11-820L6.1,0,0,0,0.641546029,0.765534746,0.59454855
RP11-822E23.2,0,0,0,0,0,0
RP11-822E23.3,0,0,0,0,0,0
RP11-822E23.4,0,0,0,0,0,0
RP11-822E23.5,0,0,0,0,0,0
RP11-822E23.6,0,0,0,0,0,0
RP11-822E23.7,0,0,0,0,0,0
RP11-822E23.8,0,0,0,0,0,0
RP11-822P1.1,0,0,0,0,0,0
RP11-823E8.3,0.028569152,0,0,0.028569152,0,0
RP11-823P9.3,0.014355293,0,0,0.028569152,0.028569152,0.028569152
RP11-823P9.4,0,0,0.084064265,0.056583528,0.056583528,0.028569152
RP11-824M15.3,0,0,0,0,0,0
RP11-826F13.1,0,0,0,0,0,0
RP11-826N14.1,0.084064265,0,0,0.028569152,0,0
RP11-826N14.2,0,0,0,0,0,0
RP11-826N14.4,0,0,0,0,0,0
RP11-829H16.1,0,0,0,0,0,0
RP11-829H16.2,0,0,0,0,0,0.124328135
RP11-829H16.3,0.097610797,0.111031312,0,0.22650853,0.028569152,0.014355293
RP11-829H16.5,0,0,0,0,0,0
RP11-82H13.2,0,0,0,0,0,0
RP11-82K18.2,0,0,0,0,0,0
RP11-82L18.2,1.028569152,1.163498732,1.169925001,0.622930351,0.333423734,0.432959407
RP11-82L18.4,0,0,0.286881148,0,0,0
RP11-82L20.1,0,0,0,0,0,0
RP11-82L7.4,0,0,0,0,0,0
RP11-82O18.2,0.111031312,0.111031312,0.056583528,0.070389328,0,0.042644337
RP11-82O19.1,0,0,0,0,0,0
RP11-82O19.2,0,0,0,0,0.298658316,0.042644337
RP11-82O2.2,0,0,0,0,0,0
RP11-830F9.5,0.344828497,0.014355293,0.014355293,0,0,0
RP11-830F9.6,2.735522177,2.582556003,2.87774425,0.189033824,0.124328135,0.084064265
RP11-830F9.7,2.482848283,2.671293372,3.285402219,0.250961574,0.124328135,0.070389328
RP11-831A10.1,0,0,0,0,0,0
RP11-831A10.2,0,0,0,0,0,0
RP11-831F12.2,0,0,0,0,0,0
RP11-831F12.3,0,0,0,0,0,0
RP11-831F12.4,0,0,0,0,0,0
RP11-831H9.11,0,0,0,0,0,0
RP11-831H9.3,0,0,0,0,0,0
RP11-832A4.7,0.084064265,0.150559677,0.084064265,0.070389328,0.028569152,0.084064265
RP11-832N8.1,0,0,0,0,0,0
RP11-834C11.10,0,0,0,0.176322773,0.084064265,0.163498732
RP11-834C11.11,0,0.042644337,0.028569152,0.014355293,0,0
RP11-834C11.12,0,0,0,0,0,0
RP11-834C11.4,0.042644337,0,0.042644337,0,0,0
RP11-834C11.5,0.310340121,0,0,0.310340121,0.604071324,0.695993813
RP11-834C11.6,0.124328135,0,0.321928095,0,0,0
RP11-834C11.7,0,0.163498732,0,0,0,0.389566812
RP11-834C11.8,0,0,0,0,0,0
RP11-835E18.4,0,0,0,0,0,0
RP11-835E18.5,0,0,0,0,0,0
RP11-837J7.3,0.475084883,0.298658316,0.333423734,0.35614381,0.124328135,0.214124805
RP11-837J7.4,0,0,0,0,0,0
RP11-838N2.3,0,0,0,0,0,0
RP11-838N2.4,0.111031312,0,0.150559677,0,0,0.124328135
RP11-838N2.5,0.070389328,0.070389328,0,0.042644337,0,0
RP11-838N2.8,0,0,0,0,0,0
RP11-839D17.3,1.176322773,1.201633861,1.541019153,2.025028794,2.392317423,1.695993813
RP11-839G9.1,0,0,0,0,0,0
RP11-83A16.1,0,0,0,0,0,0
RP11-83A24.1,0,0,0.084064265,0.124328135,0.124328135,0.070389328
RP11-83A24.2,1.438292852,1.321928095,1.464668267,1.673556424,1.475084883,1.485426827
RP11-83B20.1,0.042644337,0,0,0,0,0
RP11-83B20.10,0,0,0,0,0,0
RP11-83B20.2,0,0,0,0,0,0
RP11-83B20.3,0,0,0,0,0,0
RP11-83B20.4,0,0,0,0,0,0
RP11-83B20.5,0,0,0,0,0,0
RP11-83B20.6,0,0,0,0,0,0
RP11-83B20.7,0,0,0,0,0,0
RP11-83B20.8,0,0,0,0,0,0
RP11-83B20.9,0,0,0,0,0,0
RP11-83C7.1,0,0,0,0,0,0
RP11-83C7.3,0,0,0,0,0,0
RP11-83J16.1,0.298658316,0.286881148,0,0.176322773,0.321928095,0.40053793
RP11-83J16.3,0.042644337,0,0,0.097610797,0.042644337,0
RP11-83J21.3,0,0.150559677,0,0.084064265,0,0.111031312
RP11-83M16.1,0,0,0,0,0,0
RP11-83M16.2,0.014355293,0,0.014355293,0,0,0
RP11-83M16.3,0,0,0,0,0,0
RP11-83M16.4,0,0,0,0,0,0
RP11-83M16.5,0,0,0,0,0,0
RP11-83M16.6,0,0.111031312,0,0,0,0
RP11-83N9.5,1.124328135,1.124328135,0.98550043,0.97819563,1.063502942,0.722466024
RP11-83N9.6,0.485426827,0.250961574,0.389566812,0.565597176,0.565597176,0.464668267
RP11-840I19.3,0,0,0,0,0,0
RP11-840I19.5,0,0,0,0.097610797,0.176322773,0
RP11-841C19.1,0,0,0,0,0,0
RP11-841C19.4,0,0,0,0,0,0
RP11-841O20.2,0,0,0,0,0,0.163498732
RP11-843A23.1,0,0,0,0,0,0
RP11-843B15.1,0,0,0,0,0,0
RP11-843B15.2,0,0,0.176322773,0,0,0
RP11-843B15.3,0,0,0,0,0,0
RP11-843B15.4,0.722466024,0.5360529,0,0.748461233,0.847996907,0.485426827
RP11-843F11.1,0,0,0,0,0,0
RP11-843P14.1,0,0,0,0.070389328,0,0
RP11-843P14.2,0,0,0,0,0,0
RP11-844G16.1,0,0,0,0,0,0
RP11-844G16.3,0.250961574,0,0,0,0,0
RP11-844P9.1,0,0,0,0,0,0
RP11-844P9.2,0.678071905,0.23878686,0.641546029,1.803227036,1.495695163,1.448900951
RP11-844P9.3,0.124328135,0.111031312,0.35614381,0.163498732,0.070389328,0.084064265
RP11-844P9.4,0,0,0,0,0,0
RP11-845C23.2,0,0.042644337,0,0,0.056583528,0
RP11-845C23.3,0,0,0,0,0,0
RP11-845M18.6,1.021479727,0.650764559,0.739848103,0,0,0
RP11-845M18.7,0.275007047,0.097610797,0.176322773,1.339137385,0,0.485426827
RP11-846C15.2,0,0,0,0,0,0
RP11-846F4.1,0,0,0,0,0,0
RP11-846F4.10,0,0,0,0,0,0
RP11-846F4.11,0,0,0,0,0,0
RP11-846F4.12,0,0,0,0,0,0
RP11-846F4.14,0,0,0,0,0,0
RP11-846F4.5,0,0,0,0,0,0
RP11-846F4.6,0,0,0,0,0,0
RP11-846F4.9,0,0,0,0,0,0
RP11-847H18.2,0,0,0,0,0.028569152,0.028569152
RP11-847H18.3,0.070389328,0.070389328,0.070389328,0.042644337,0,0.111031312
RP11-848D3.4,0,0,0,0,0,0
RP11-848D3.5,0,0,0,0,0,0
RP11-848G14.2,0.042644337,0.042644337,0,0.014355293,0.056583528,0.028569152
RP11-848G14.5,0.189033824,0.263034406,0.35614381,0.214124805,0.275007047,0.22650853
RP11-848P1.2,1.021479727,0.584962501,0.641546029,1.049630768,0.411426246,0.475084883
RP11-848P1.3,0,0,0,0,0,0
RP11-848P1.4,0.176322773,0,0.084064265,0.150559677,0,0.070389328
RP11-848P1.5,0.137503524,0.378511623,0.35614381,0.367371066,0.632268215,0.669026766
RP11-848P1.7,1.23878686,1.201633861,1.82374936,1.709290636,2.12763328,1.584962501
RP11-848P1.9,1.761285273,1.526068812,1.669026766,1.070389328,0.659924558,0.687060688
RP11-849F2.10,0,0,0,0,0,0
RP11-849F2.4,0,0,0,0,0,0
RP11-849F2.5,0.201633861,0,0,0.111031312,0,0.111031312
RP11-849F2.8,1.195347598,0.613531653,1.042644337,2.182692298,1.851998837,1.516015147
RP11-849F2.9,0.731183242,0.713695815,0.310340121,0.704871964,0.941106311,0.604071324
RP11-849H4.2,2.851998837,2.778208576,2.693765712,2.459431619,2.163498732,1.773996325
RP11-849H4.4,0.432959407,0.201633861,0.176322773,0.35614381,0.189033824,0.250961574
RP11-849I19.1,0,0,0,0,0,0
RP11-849I19.2,0,0,0.042644337,0,0.042644337,0
RP11-849N15.1,0.214124805,0,0,0,0,0
RP11-849N15.3,0.124328135,0.084064265,0.150559677,0.028569152,0,0
RP11-849N15.4,0,0,0,0,0,0
RP11-849N15.5,0,0,0,0,0,0
RP11-84A12.1,0,0,0,0,0,0
RP11-84A14.4,0,0,0.286881148,0.422233001,0.176322773,0.23878686
RP11-84A14.5,0,0,0,0,0,0
RP11-84A19.2,0.070389328,0.028569152,0.014355293,0.014355293,0,0.042644337
RP11-84A19.3,0,0,0,0,0,0
RP11-84A19.4,0.111031312,0.111031312,0,0.056583528,0,0.084064265
RP11-84C10.1,0,0.111031312,0,0.124328135,0,0.084064265
RP11-84C10.2,0,0,0,0,0,0
RP11-84C10.3,0,0,0,0,0,0
RP11-84C10.4,0,0,0.042644337,0.028569152,0,0
RP11-84C13.1,1.521050737,1.584962501,1.618238656,2.327687364,0.815575429,1.769771739
RP11-84C13.2,0.111031312,0.201633861,0.097610797,1.077242999,0.887525271,0.847996907
RP11-84D1.1,0,0,0,0,0,0
RP11-84D1.2,0,0,0,0,0,0
RP11-84G21.1,0.722466024,0.695993813,0.82374936,1.124328135,0.86393845,0.790772038
RP11-84H6.1,0,0,0,0,0,0
RP11-84N19.1,0,0,0,0,0,0
RP11-84O12.2,0,0,0,0,0,0
RP11-84O12.3,0,0,0,0,0,0
RP11-850A17.1,0.910732662,0.516015147,0.411426246,0.739848103,0.50589093,0.432959407
RP11-850F7.7,0,0,0,0,0,0
RP11-851M3.1,0,0,0,0,0,0
RP11-852E15.1,0,0,0,0,0,0
RP11-854K16.2,0,0.042644337,0,0,0,0
RP11-854K16.3,0,0.124328135,0,0,0,0.189033824
RP11-854K16.4,0,0,0,0,0,0
RP11-855A2.1,0.084064265,0.028569152,0,0.084064265,0.111031312,0.042644337
